horizon_days,fold,test_from,test_to,ticker,n_test,n_train,acc_logistic_%,acc_xgboost_%,own_baseline_%,edge_logistic_pp,edge_xgboost_pp
1,18,2025-01,2025-07,LOLC,114,19587,28.9,36.0,45.6,-16.7,-9.6
1,18,2025-01,2025-07,SAMP,114,19587,23.7,38.6,35.1,-11.4,3.5
1,19,2025-07,2026-01,CFIN,124,20392,33.9,34.7,39.5,-5.6,-4.8
1,19,2025-07,2026-01,COMB,124,20392,44.4,48.4,50.0,-5.6,-1.6
1,19,2025-07,2026-01,HNB,124,20392,50.0,44.4,48.4,1.6,-4.0
1,19,2025-07,2026-01,LFIN,124,20392,33.1,39.5,36.3,-3.2,3.2
1,19,2025-07,2026-01,LOFC,124,20392,51.6,46.8,48.4,3.2,-1.6
1,19,2025-07,2026-01,LOLC,124,20392,52.4,44.4,38.7,13.7,5.6
1,19,2025-07,2026-01,SAMP,124,20392,46.8,45.2,49.2,-2.4,-4.0
1,20,2026-01,2026-07,CFIN,118,21246,42.4,37.3,36.4,5.9,0.8
1,20,2026-01,2026-07,COMB,118,21246,52.5,48.3,54.2,-1.7,-5.9
1,20,2026-01,2026-07,HNB,118,21246,58.5,50.0,58.5,0.0,-8.5
1,20,2026-01,2026-07,LFIN,118,21246,38.1,33.1,38.1,0.0,-5.1
1,20,2026-01,2026-07,LOFC,118,21246,43.2,47.5,42.4,0.8,5.1
1,20,2026-01,2026-07,LOLC,118,21246,42.4,45.8,35.6,6.8,10.2
1,20,2026-01,2026-07,SAMP,118,21246,49.2,47.5,53.4,-4.2,-5.9
5,0,2016-01,2016-07,CFIN,89,5786,39.3,39.3,38.2,1.1,1.1
5,0,2016-01,2016-07,COMB,118,5786,39.0,32.2,35.6,3.4,-3.4
5,0,2016-01,2016-07,HNB,102,5786,35.3,32.4,54.9,-19.6,-22.5
5,0,2016-01,2016-07,LFIN,109,5786,41.3,45.9,43.1,-1.8,2.8
5,0,2016-01,2016-07,LOFC,100,5786,58.0,62.0,48.0,10.0,14.0
5,0,2016-01,2016-07,LOLC,99,5786,46.5,49.5,42.4,4.0,7.1
5,0,2016-01,2016-07,SAMP,116,5786,36.2,31.0,37.1,-0.9,-6.0
5,1,2016-07,2017-01,CFIN,105,6502,40.0,50.5,60.0,-20.0,-9.5
5,1,2016-07,2017-01,COMB,120,6502,29.2,29.2,35.0,-5.8,-5.8
5,1,2016-07,2017-01,HNB,107,6502,41.1,37.4,56.1,-15.0,-18.7
5,1,2016-07,2017-01,LFIN,106,6502,28.3,31.1,47.2,-18.9,-16.0
5,1,2016-07,2017-01,LOFC,104,6502,31.7,36.5,35.6,-3.8,1.0
5,1,2016-07,2017-01,LOLC,102,6502,34.3,40.2,49.0,-14.7,-8.8
5,1,2016-07,2017-01,SAMP,121,6502,35.5,25.6,57.9,-22.3,-32.2
5,2,2017-01,2017-07,CFIN,104,7283,32.7,28.8,46.2,-13.5,-17.3
5,2,2017-01,2017-07,COMB,113,7283,26.5,23.0,42.5,-15.9,-19.5
5,2,2017-01,2017-07,HNB,101,7283,39.6,47.5,47.5,-7.9,0.0
5,2,2017-01,2017-07,LFIN,101,7283,34.7,34.7,34.7,0.0,0.0
5,2,2017-01,2017-07,LOFC,100,7283,18.0,29.0,40.0,-22.0,-11.0
5,2,2017-01,2017-07,LOLC,104,7283,18.3,21.2,46.2,-27.9,-25.0
5,2,2017-01,2017-07,SAMP,114,7283,43.0,27.2,47.4,-4.4,-20.2
5,3,2017-07,2018-01,CFIN,101,8007,38.6,31.7,39.6,-1.0,-7.9
5,3,2017-07,2018-01,COMB,120,8007,64.2,44.2,55.0,9.2,-10.8
5,3,2017-07,2018-01,HNB,116,8007,37.9,36.2,42.2,-4.3,-6.0
5,3,2017-07,2018-01,LFIN,83,8007,37.3,39.8,33.7,3.6,6.0
5,3,2017-07,2018-01,LOFC,103,8007,39.8,39.8,35.0,4.9,4.9
5,3,2017-07,2018-01,LOLC,114,8007,36.0,28.1,40.4,-4.4,-12.3
5,3,2017-07,2018-01,SAMP,118,8007,41.5,34.7,36.4,5.1,-1.7
5,4,2018-01,2018-07,CFIN,101,8781,47.5,45.5,39.6,7.9,5.9
5,4,2018-01,2018-07,COMB,115,8781,49.6,42.6,50.4,-0.9,-7.8
5,4,2018-01,2018-07,HNB,106,8781,57.5,41.5,63.2,-5.7,-21.7
5,4,2018-01,2018-07,LFIN,91,8781,37.4,35.2,26.4,11.0,8.8
5,4,2018-01,2018-07,LOFC,103,8781,49.5,43.7,48.5,1.0,-4.9
5,4,2018-01,2018-07,LOLC,100,8781,40.0,42.0,58.0,-18.0,-16.0
5,4,2018-01,2018-07,SAMP,116,8781,32.8,28.4,39.7,-6.9,-11.2
5,5,2018-07,2019-01,CFIN,100,9503,42.0,42.0,43.0,-1.0,-1.0
5,5,2018-07,2019-01,COMB,121,9503,34.7,33.9,39.7,-5.0,-5.8
5,5,2018-07,2019-01,HNB,105,9503,39.0,31.4,32.4,6.7,-1.0
5,5,2018-07,2019-01,LFIN,86,9503,37.2,39.5,31.4,5.8,8.1
5,5,2018-07,2019-01,LOFC,104,9503,42.3,43.3,32.7,9.6,10.6
5,5,2018-07,2019-01,LOLC,95,9503,36.8,33.7,36.8,0.0,-3.2
5,5,2018-07,2019-01,SAMP,123,9503,35.8,33.3,37.4,-1.6,-4.1
5,6,2019-01,2019-07,CFIN,97,10244,35.1,41.2,42.3,-7.2,-1.0
5,6,2019-01,2019-07,COMB,115,10244,37.4,40.9,36.5,0.9,4.3
5,6,2019-01,2019-07,HNB,110,10244,45.5,38.2,53.6,-8.2,-15.5
5,6,2019-01,2019-07,LFIN,94,10244,44.7,45.7,33.0,11.7,12.8
5,6,2019-01,2019-07,LOFC,94,10244,52.1,45.7,41.5,10.6,4.3
5,6,2019-01,2019-07,LOLC,93,10244,38.7,45.2,26.9,11.8,18.3
5,6,2019-01,2019-07,SAMP,116,10244,31.0,33.6,44.0,-12.9,-10.3
5,7,2019-07,2020-01,CFIN,101,10958,35.6,39.6,34.7,1.0,5.0
5,7,2019-07,2020-01,COMB,123,10958,34.1,35.0,45.5,-11.4,-10.6
5,7,2019-07,2020-01,HNB,119,10958,29.4,38.7,49.6,-20.2,-10.9
5,7,2019-07,2020-01,LFIN,97,10958,34.0,45.4,43.3,-9.3,2.1
5,7,2019-07,2020-01,LOFC,119,10958,30.3,47.9,30.3,0.0,17.6
5,7,2019-07,2020-01,LOLC,113,10958,36.3,31.9,36.3,0.0,-4.4
5,7,2019-07,2020-01,SAMP,123,10958,28.5,41.5,33.3,-4.9,8.1
5,8,2020-01,2020-07,CFIN,62,11748,29.0,27.4,45.2,-16.1,-17.7
