date,spsl20_points
2019-01-21,3066.29
2019-01-22,3054.76
2019-01-23,3045.3201
2019-01-24,3032.73
2019-01-25,3037.46
2019-01-28,3046.23
2019-01-29,3052.25
2019-01-30,3082.52
2019-01-31,3077.0801
2019-02-01,3073.71
2019-02-04,3072.46
2019-02-06,3074.6201
2019-02-07,3057.75
2019-02-08,3053.25
2019-02-11,3058.0701
2019-02-12,3062.4099
2019-02-13,3040.6201
2019-02-14,3040.6499
2019-02-15,3043.4099
2019-02-18,3028.22
2019-02-19,3022.8501
2019-02-21,3006.4099
2019-02-22,2977.3501
2019-02-25,2977.47
2019-02-26,2977.8301
2019-02-27,2980.46
2019-02-28,2972.3501
2019-03-01,2978.9099
2019-03-04,2868.04
2019-03-06,2886.3899
2019-03-07,2881.8601
2019-03-08,2882.6799
2019-03-11,2859.5901
2019-03-12,2818.3201
2019-03-13,2795.8799
2019-03-14,2751.3
2019-03-15,2771.28
2019-03-18,2761.1001
2019-03-19,2761.0
2019-03-20,2752.3501
2019-03-22,2741.3101
2019-03-25,2724.9399
2019-03-26,2717.6001
2019-03-27,2708.0
2019-03-28,2701.8701
2019-03-29,2736.49
2019-04-01,2738.95
2019-04-02,2716.71
2019-04-03,2730.99
2019-04-04,2737.5701
2019-04-05,2757.0601
2019-04-08,2742.47
2019-04-09,2721.0801
2019-04-10,2720.4099
2019-04-11,2721.05
2019-04-12,2717.0901
2019-04-15,2713.3101
2019-04-17,2722.1399
2019-04-18,2715.6599
2019-04-19,2710.27
2019-04-24,2590.9099
2019-04-25,2603.0
2019-04-26,2591.1799
2019-04-29,2600.76
2019-04-30,2613.3701
2019-05-01,2627.46
2019-05-03,2623.1699
2019-05-06,2617.95
2019-05-07,2587.2
2019-05-08,2565.3101
2019-05-09,2552.1599
2019-05-10,2535.8201
2019-05-13,2519.0801
2019-05-14,2511.8601
2019-05-15,2459.1499
2019-05-16,2441.3999
2019-05-17,2454.73
2019-05-20,2446.8999
2019-05-22,2466.1499
2019-05-23,2473.1001
2019-05-24,2466.8799
2019-05-27,2464.1699
2019-05-28,2459.3201
2019-05-29,2464.1499
2019-05-30,2479.3899
2019-05-31,2478.0901
2019-06-03,2469.8201
2019-06-04,2458.8601
2019-06-05,2446.3899
2019-06-07,2442.1399
2019-06-10,2459.9199
2019-06-11,2477.48
2019-06-12,2488.1499
2019-06-13,2504.8101
2019-06-14,2503.6001
2019-06-17,2512.6799
2019-06-18,2512.24
2019-06-19,2515.3401
2019-06-20,2513.96
2019-06-21,2493.8799
2019-06-24,2488.98
2019-06-25,2489.6201
2019-06-26,2482.0801
2019-06-27,2479.9199
2019-06-28,2477.76
2019-07-01,2496.5601
2019-07-02,2505.0701
2019-07-03,2524.75
2019-07-04,2542.3201
2019-07-05,2587.8401
2019-07-08,2594.4399
2019-07-09,2580.0901
2019-07-10,2600.74
2019-07-11,2594.6001
2019-07-12,2613.99
2019-07-15,2627.1899
2019-07-16,2643.02
2019-07-18,2694.53
2019-07-19,2740.1499
2019-07-22,2762.04
2019-07-23,2724.76
2019-07-24,2749.55
2019-07-25,2810.0601
2019-07-26,2880.54
2019-07-29,2925.48
2019-07-30,3050.8201
2019-07-31,3024.99
2019-08-01,2983.45
2019-08-02,2927.8999
