time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1668668400,39,39,38.5,38.5,39.76999999999997,41.268132170406155,38.27186782959378,5191,0.07613886642069977
1668747600,38.5,38.5,38.5,38.5,39.66999999999997,41.22576347816898,38.11423652183097,218,0.12397883212396828
1668751200,38.5,38.5,38,38.1,39.57499999999997,41.26482247588494,37.885177524114994,3573,0.0635636224960564
1668754800,38,38,37,37,39.42499999999997,41.43882720212157,37.411172797878365,15967,-0.10208740785832734
1669003200,37,37,36.5,36.5,39.19999999999997,41.451221890442056,36.94877810955788,2581,-0.09967433940280057
1669006800,36.5,37,36.3,37,39.00499999999997,41.30845392834448,36.70154607165546,2282,0.06478400211786338
1669010400,36.5,37,36.5,37,38.80999999999997,41.09901725637995,36.52098274361998,2080,0.10463382376102537
1669014000,37,37,36.5,37,38.624999999999964,40.8707738087363,36.379226191263626,9420,0.13820933486744896
1669089600,39,39,39,39,38.544999999999966,40.61040552918928,36.47959447081065,40,0.6101478604491353
1669093200,38.8,38.9,38.8,38.8,38.48499999999997,40.44487244483004,36.5251275551699,9500,0.5803623727735349
1669096800,38.8,39.8,38.8,39.8,38.499999999999964,40.49499373432768,36.50500626567225,20775,0.8258155596258339
1669176000,38.1,38.1,38,38,38.42499999999997,40.376281630109894,36.473718369890044,2810,0.3910972169670796
1669179600,38,38.8,38,38.8,38.38999999999997,40.287261183918304,36.49273881608164,6470,0.6080504896941152
1669183200,38.8,40,38.7,40,38.429999999999964,40.425093982750106,36.43490601724982,5071,0.8934651734641257
1669186800,39,39,38,38,38.36499999999997,40.32691233239554,36.403087667604396,2183,0.4069785142860366
1669266000,38.7,38.7,38,38,38.30999999999996,40.247937047483106,36.37206295251681,101,0.42001804176184016
1669269600,39,39,39,39,38.304999999999964,40.23525904997402,36.37474095002591,544,0.6800276496590905
1669352400,39.9,39.9,39.9,39.9,38.34499999999996,40.37031479034909,36.319685209650835,1488,0.8838909406601383
1669356000,38.3,38.3,38.3,38.3,38.30999999999997,40.31289790054462,36.307102099455314,10,0.4975036171346402
1669359600,38.9,38.9,38,38,38.25999999999997,40.24131269617012,36.27868730382982,6027,0.4343869343535359
1669608000,38,39.5,38,39.5,38.30999999999997,40.362218311975084,36.25778168802485,700,0.7899301680177342
1669611600,39,39,38,38,38.284999999999975,40.33953157678418,36.23046842321577,4604,0.4306411244245604
1669615200,38.5,38.5,38.5,38.5,38.30499999999997,40.35972625914132,36.250273740858624,991,0.5474515763675297
1669618800,38.2,39,38.1,39,38.40499999999997,40.38941427126604,36.420585728733904,2707,0.6499182929228818
1669694400,39.5,39.5,39.5,39.5,38.554999999999964,40.388548472227534,36.721451527772395,207,0.7576970323702322
1669698000,39.5,39.5,38.2,38.2,38.61499999999997,40.314735273507786,36.91526472649215,992,0.3779221663313754
1669701600,38.2,39,38.2,39,38.71499999999997,40.25028498983268,37.17971501016726,1776,0.5928166437786533
1669780800,39.8,39.8,39.5,39.5,38.83999999999997,40.19262707351554,37.4873729264844,231,0.7439696842251748
1669784400,39.7,39.9,39,39.9,38.88499999999997,40.31367071083778,37.456329289162156,28806,0.8552253126981247
1669788000,38.7,39.9,38.6,39,38.89499999999997,40.32395066395115,37.46604933604878,12887,0.536740246759009
1669791600,39,39.5,39,39,38.854999999999976,40.22390467162768,37.48609532837227,5279,0.5529620517064974
1669867200,39.9,39.9,39.8,39.8,38.94499999999997,40.313904671628,37.57609532837194,4713,0.8122934773037114
1669870800,39.8,39.8,38.7,39,38.95499999999997,40.32244286900955,37.58755713099039,20837,0.5164540694971129
1669874400,39,39,38.5,38.5,38.879999999999974,40.17243955371365,37.5875604462863,4343,0.3529911906100028
1669878000,38.5,38.9,38.5,38.9,38.92499999999997,40.15280291578294,37.697197084216995,2345,0.48981921297033754
1669953600,38.6,38.6,38.5,38.5,38.949999999999974,40.12046999107383,37.779530008926116,2000,0.3077695270140511
1669957200,38.5,38.5,37,37.9,38.89499999999997,40.15114489610299,37.638855103896944,38521,0.10394696380696701
1669960800,37.9,37.9,37.6,37.8,38.78999999999997,40.04363471553942,37.53636528446052,28355,0.10514813935494383
1669964400,37.8,38,37.8,38,38.77499999999997,40.05854976530146,37.49145023469848,126561,0.1981028624870131
1670212800,38.9,38.9,38.5,38.8,38.81499999999997,40.048328828823124,37.581671171176815,284801,0.4939188967088829
1670216400,38.5,38.6,38,38.5,38.76499999999997,39.96379105769333,37.566208942306616,9180,0.38947198166881986
1670220000,38.5,38.5,38.2,38.5,38.78999999999997,39.943949738942656,37.636050261057285,1161,0.37434461388860607
