horizon_days,fold,test_from,ticker,n_test,own_baseline_%,sent_share_%,acc_A_%,edge_A_pp,acc_D_%,edge_D_pp,acc_H_%,edge_H_pp,acc_S_%,edge_S_pp
22,4,2021-01,LOLC,114,52.6,26.9,55.3,2.6,82.5,29.8,82.5,29.8,64.0,11.4
22,4,2021-01,SAMP,111,39.6,26.9,37.8,-1.8,36.0,-3.6,41.4,1.8,54.1,14.4
22,5,2021-07,CFIN,124,43.5,26.6,34.7,-8.9,42.7,-0.8,46.0,2.4,48.4,4.8
22,5,2021-07,COMB,124,38.7,26.6,37.9,-0.8,31.5,-7.3,33.1,-5.6,33.9,-4.8
22,5,2021-07,HNB,124,41.9,26.6,33.9,-8.1,54.0,12.1,54.0,12.1,46.8,4.8
22,5,2021-07,LFIN,124,33.1,26.6,46.0,12.9,43.5,10.5,44.4,11.3,46.8,13.7
22,5,2021-07,LOFC,124,41.1,26.6,64.5,23.4,86.3,45.2,83.9,42.7,72.6,31.5
22,5,2021-07,LOLC,124,94.4,26.6,48.4,-46.0,85.5,-8.9,86.3,-8.1,83.1,-11.3
22,5,2021-07,SAMP,124,40.3,26.6,32.3,-8.1,42.7,2.4,42.7,2.4,36.3,-4.0
22,6,2022-01,CFIN,66,81.8,26.7,24.2,-57.6,51.5,-30.3,54.5,-27.3,7.6,-74.2
22,6,2022-01,COMB,66,69.7,26.7,36.4,-33.3,28.8,-40.9,34.8,-34.8,18.2,-51.5
22,6,2022-01,HNB,66,81.8,26.7,28.8,-53.0,21.2,-60.6,42.4,-39.4,6.1,-75.8
22,6,2022-01,LFIN,66,60.6,26.7,39.4,-21.2,50.0,-10.6,56.1,-4.5,7.6,-53.0
22,6,2022-01,LOFC,65,55.4,26.7,60.0,4.6,40.0,-15.4,43.1,-12.3,9.2,-46.2
22,6,2022-01,LOLC,66,54.5,26.7,25.8,-28.8,50.0,-4.5,51.5,-3.0,12.1,-42.4
22,6,2022-01,SAMP,77,42.9,26.7,37.7,-5.2,35.1,-7.8,27.3,-15.6,9.1,-33.8
