ticker,horizon_days,fold,test_from,model,n_test,MAPE_%,MAE,RMSE,ret_RMSE_pp,dir_acc_%
COMB,1,11,2022-07,Ridge P (price only),98,1.306,0.601,0.784,1.703,42.9
COMB,1,11,2022-07,XGBoost P (price only),98,1.31,0.604,0.81,1.751,46.9
COMB,1,11,2022-07,Ridge P+M (+macro),98,1.323,0.609,0.793,1.734,48.0
COMB,1,11,2022-07,XGBoost P+M (+macro),98,1.245,0.574,0.778,1.689,46.9
COMB,1,11,2022-07,Ridge P+M+N (+macro+news),98,1.418,0.651,0.827,1.786,38.8
COMB,1,11,2022-07,XGBoost P+M+N (+macro+news),98,1.22,0.563,0.76,1.648,50.0
COMB,1,12,2023-01,naive (no change),119,2.013,1.139,1.837,3.237,5.9
COMB,1,12,2023-01,"ARIMA(1,1,1)",119,2.01,1.138,1.842,3.248,51.3
COMB,1,12,2023-01,Ridge P (price only),119,2.033,1.151,1.839,3.237,47.9
COMB,1,12,2023-01,XGBoost P (price only),119,2.109,1.189,1.86,3.29,55.5
COMB,1,12,2023-01,Ridge P+M (+macro),119,2.064,1.167,1.819,3.195,44.5
COMB,1,12,2023-01,XGBoost P+M (+macro),119,2.095,1.187,1.856,3.278,53.8
COMB,1,12,2023-01,Ridge P+M+N (+macro+news),119,2.063,1.166,1.819,3.195,46.2
COMB,1,12,2023-01,XGBoost P+M+N (+macro+news),119,2.061,1.169,1.877,3.32,55.5
COMB,1,13,2023-07,naive (no change),123,1.477,1.233,1.677,2.002,8.1
COMB,1,13,2023-07,"ARIMA(1,1,1)",123,1.485,1.24,1.681,2.008,43.1
COMB,1,13,2023-07,Ridge P (price only),123,1.486,1.238,1.651,1.974,51.2
COMB,1,13,2023-07,XGBoost P (price only),123,1.561,1.302,1.693,2.028,50.4
COMB,1,13,2023-07,Ridge P+M (+macro),123,1.539,1.281,1.725,2.047,52.0
COMB,1,13,2023-07,XGBoost P+M (+macro),123,1.944,1.613,2.152,2.566,50.4
COMB,1,13,2023-07,Ridge P+M+N (+macro+news),123,1.55,1.29,1.728,2.05,52.0
COMB,1,13,2023-07,XGBoost P+M+N (+macro+news),123,1.878,1.557,2.1,2.503,47.2
COMB,1,14,2024-01,naive (no change),115,1.092,1.055,1.618,1.633,9.6
COMB,1,14,2024-01,"ARIMA(1,1,1)",115,1.112,1.073,1.619,1.631,44.3
COMB,1,14,2024-01,Ridge P (price only),115,1.082,1.047,1.582,1.592,53.9
COMB,1,14,2024-01,XGBoost P (price only),115,1.084,1.048,1.57,1.574,57.4
COMB,1,14,2024-01,Ridge P+M (+macro),115,1.09,1.055,1.581,1.587,52.2
COMB,1,14,2024-01,XGBoost P+M (+macro),115,1.125,1.085,1.59,1.6,53.9
COMB,1,14,2024-01,Ridge P+M+N (+macro+news),115,1.101,1.066,1.587,1.592,47.8
COMB,1,14,2024-01,XGBoost P+M+N (+macro+news),115,1.182,1.144,1.641,1.64,50.4
COMB,1,15,2024-07,naive (no change),122,1.119,1.131,1.6,1.627,11.5
COMB,1,15,2024-07,"ARIMA(1,1,1)",122,1.131,1.147,1.617,1.639,40.2
COMB,1,15,2024-07,Ridge P (price only),122,1.068,1.074,1.506,1.544,61.5
COMB,1,15,2024-07,XGBoost P (price only),122,1.142,1.151,1.555,1.597,54.1
