ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
LOFC,finance,D,38,5,1 week,1998,501,43.3,43.7,-0.4,False,1.171,-22.6,0.0,0.0,0.0
LOFC,finance,E,42,5,1 week,1998,501,40.9,43.7,-2.8,False,1.229,-22.2,9.7,0.0,0.0
LOFC,finance,E2,54,5,1 week,1998,501,41.7,43.7,-2.0,False,1.331,-23.2,7.3,14.9,7.4
LOFC,finance,A,9,10,2 weeks,1989,500,38.2,45.0,-6.8,False,1.043,-28.2,0.0,0.0,0.0
LOFC,finance,D,38,10,2 weeks,1989,500,43.2,45.0,-1.8,False,1.486,-27.4,0.0,0.0,0.0
LOFC,finance,E,42,10,2 weeks,1989,500,44.0,45.0,-1.0,False,1.534,-26.8,9.8,0.0,0.0
LOFC,finance,E2,54,10,2 weeks,1989,500,40.0,45.0,-5.0,False,1.728,-28.0,7.7,14.6,8.4
LOFC,finance,A,9,15,3 weeks,1980,499,39.5,37.9,1.6,True,1.067,-27.1,0.0,0.0,0.0
LOFC,finance,D,38,15,3 weeks,1980,499,41.3,37.9,3.4,True,1.69,-25.3,0.0,0.0,0.0
LOFC,finance,E,42,15,3 weeks,1980,499,41.9,37.9,4.0,True,1.683,-21.4,9.4,0.0,0.0
LOFC,finance,E2,54,15,3 weeks,1980,499,42.3,37.9,4.4,True,1.327,-25.1,7.2,13.4,7.5
LOFC,finance,A,9,22,1 month,1967,498,31.9,43.0,-11.0,False,1.092,-25.7,0.0,0.0,0.0
LOFC,finance,D,38,22,1 month,1967,498,35.7,43.0,-7.2,False,1.56,-22.1,0.0,0.0,0.0
LOFC,finance,E,42,22,1 month,1967,498,37.6,43.0,-5.4,False,1.681,-21.3,10.5,0.0,0.0
LOFC,finance,E2,54,22,1 month,1967,498,44.6,43.0,1.6,True,1.836,-10.4,8.4,12.8,9.0
LOFC,finance,A,9,44,2 months,1928,493,31.6,43.6,-12.0,False,0.994,-22.9,0.0,0.0,0.0
LOFC,finance,D,38,44,2 months,1928,493,48.3,43.6,4.7,True,1.91,-12.6,0.0,0.0,0.0
LOFC,finance,E,42,44,2 months,1928,493,49.3,43.6,5.7,True,1.874,-10.1,7.6,0.0,0.0
LOFC,finance,E2,54,44,2 months,1928,493,45.2,43.6,1.6,True,2.563,-8.5,5.7,10.1,10.2
LOFC,finance,A,9,66,3 months,1888,489,44.6,40.5,4.1,True,1.045,-27.4,0.0,0.0,0.0
LOFC,finance,D,38,66,3 months,1888,489,51.3,40.5,10.8,True,1.448,-11.7,0.0,0.0,0.0
LOFC,finance,E,42,66,3 months,1888,489,50.5,40.5,10.0,True,1.195,-7.6,7.3,0.0,0.0
LOFC,finance,E2,54,66,3 months,1888,489,39.9,40.5,-0.6,False,1.175,-11.0,5.8,10.1,10.8
LOFC,finance,A,9,132,6 months,1769,476,40.8,34.2,6.5,True,1.351,-20.6,0.0,0.0,0.0
LOFC,finance,D,38,132,6 months,1769,476,41.0,34.2,6.7,True,2.741,16.4,0.0,0.0,0.0
LOFC,finance,E,42,132,6 months,1769,476,41.6,34.2,7.4,True,2.464,15.1,6.2,0.0,0.0
LOFC,finance,E2,54,132,6 months,1769,476,43.5,34.2,9.2,True,2.755,16.4,5.0,8.3,11.6
LOFC,finance,A,9,252,1 year,1553,452,30.1,34.3,-4.2,False,1.223,-6.6,0.0,0.0,0.0
LOFC,finance,D,38,252,1 year,1553,452,40.0,34.3,5.8,True,5.956,-1.8,0.0,0.0,0.0
LOFC,finance,E,42,252,1 year,1553,452,41.2,34.3,6.9,True,5.873,-3.3,6.7,0.0,0.0
LOFC,finance,E2,54,252,1 year,1553,452,49.8,34.3,15.5,True,4.23,6.0,5.0,8.1,16.6
LOLC,finance,A,9,1,1 day,1995,499,36.9,36.1,0.8,True,1.003,-11.2,0.0,0.0,0.0
LOLC,finance,D,38,1,1 day,1995,499,37.5,36.1,1.4,True,1.04,-12.6,0.0,0.0,0.0
LOLC,finance,E,42,1,1 day,1995,499,38.5,36.1,2.4,True,1.055,-14.2,8.5,0.0,0.0
LOLC,finance,E2,54,1,1 day,1995,499,35.7,36.1,-0.4,False,1.057,-13.2,6.8,15.9,5.9
LOLC,finance,A,9,5,1 week,1987,499,33.5,38.9,-5.4,False,1.005,-7.0,0.0,0.0,0.0
LOLC,finance,D,38,5,1 week,1987,499,33.3,38.9,-5.6,False,1.163,-7.8,0.0,0.0,0.0
LOLC,finance,E,42,5,1 week,1987,499,30.5,38.9,-8.4,False,1.198,-11.0,9.0,0.0,0.0
LOLC,finance,E2,54,5,1 week,1987,499,32.5,38.9,-6.4,False,1.189,-9.8,7.0,14.5,7.0
LOLC,finance,A,9,10,2 weeks,1978,498,35.3,40.4,-5.0,False,1.011,-3.2,0.0,0.0,0.0
LOLC,finance,D,38,10,2 weeks,1978,498,37.3,40.4,-3.0,False,1.435,-10.4,0.0,0.0,0.0
LOLC,finance,E,42,10,2 weeks,1978,498,37.8,40.4,-2.6,False,1.316,-9.8,9.4,0.0,0.0
LOLC,finance,E2,54,10,2 weeks,1978,498,36.9,40.4,-3.4,False,1.276,-9.2,7.0,13.5,8.5
LOLC,finance,A,9,15,3 weeks,1969,497,35.2,43.1,-7.8,False,1.042,-7.8,0.0,0.0,0.0
LOLC,finance,D,38,15,3 weeks,1969,497,34.6,43.1,-8.5,False,1.776,-12.9,0.0,0.0,0.0
LOLC,finance,E,42,15,3 weeks,1969,497,35.0,43.1,-8.0,False,1.522,-12.7,10.3,0.0,0.0
LOLC,finance,E2,54,15,3 weeks,1969,497,39.8,43.1,-3.2,False,1.65,-9.3,7.8,13.0,9.1
LOLC,finance,A,9,22,1 month,1957,495,41.2,44.4,-3.2,False,1.081,-2.2,0.0,0.0,0.0
LOLC,finance,D,38,22,1 month,1957,495,36.2,44.4,-8.3,False,2.137,-6.5,0.0,0.0,0.0
LOLC,finance,E,42,22,1 month,1957,495,36.2,44.4,-8.3,False,1.982,-7.9,9.9,0.0,0.0
LOLC,finance,E2,54,22,1 month,1957,495,38.2,44.4,-6.3,False,1.884,-6.7,7.5,12.2,8.8
LOLC,finance,A,9,44,2 months,1917,491,41.3,34.2,7.1,True,1.077,-15.3,0.0,0.0,0.0
LOLC,finance,D,38,44,2 months,1917,491,38.7,34.2,4.5,True,2.384,-1.2,0.0,0.0,0.0
LOLC,finance,E,42,44,2 months,1917,491,36.3,34.2,2.0,True,2.461,-3.1,8.9,0.0,0.0
LOLC,finance,E2,54,44,2 months,1917,491,38.7,34.2,4.5,True,2.339,1.0,6.4,10.4,10.0
LOLC,finance,A,9,66,3 months,1878,486,38.9,30.5,8.4,True,1.041,-18.5,0.0,0.0,0.0
LOLC,finance,D,38,66,3 months,1878,486,36.2,30.5,5.8,True,1.676,-6.6,0.0,0.0,0.0
LOLC,finance,E,42,66,3 months,1878,486,34.2,30.5,3.7,True,1.646,-9.5,8.0,0.0,0.0
LOLC,finance,E2,54,66,3 months,1878,486,31.9,30.5,1.4,True,1.594,-6.4,5.5,10.2,11.2
LOLC,finance,A,9,132,6 months,1759,473,36.6,41.9,-5.3,False,1.14,0.0,0.0,0.0,0.0
LOLC,finance,D,38,132,6 months,1759,473,45.5,41.9,3.6,True,1.928,2.1,0.0,0.0,0.0
