date,s_vader,s_lm,n_articles,neg_share_vader,neg_share_lm
2016-12-31,0.25176666666666664,0.3686868686868687,3,0.3333333333333333,0.0
2017-01-01,-0.18983999999999998,-0.5333333333333334,5,0.4,0.6
2017-01-02,-0.13673333333333332,-0.15555555555555556,3,0.6666666666666666,0.3333333333333333
2017-01-03,0.076575,0.04166666666666666,8,0.375,0.25
2017-01-04,-0.048842857142857125,-0.23673469387755103,7,0.42857142857142855,0.42857142857142855
2017-01-05,0.11243333333333336,0.12962962962962965,9,0.3333333333333333,0.3333333333333333
2017-01-06,0.20668999999999998,-0.15333333333333332,10,0.4,0.5
2017-01-07,0.38355,-0.2833333333333333,8,0.25,0.5
2017-01-08,0.6541,0.30666666666666664,5,0.2,0.2
2017-01-09,0.13932499999999998,-0.2142857142857143,4,0.5,0.5
2017-01-10,-0.059983333333333354,-0.012820512820512822,6,0.5,0.3333333333333333
2017-01-11,0.28769999999999996,0.033333333333333326,10,0.2,0.1
2017-01-12,0.583475,0.4,4,0.0,0.0
2017-01-13,0.13326000000000002,-0.2,5,0.2,0.2
2017-01-14,0.27077142857142855,0.2696351267779839,7,0.2857142857142857,0.42857142857142855
2017-01-15,0.2381,0.6190476190476191,3,0.3333333333333333,0.3333333333333333
2017-01-16,0.4243,0.38803418803418804,13,0.23076923076923078,0.15384615384615385
2017-01-17,0.20500000000000002,-0.12904761904761905,10,0.4,0.5
2017-01-18,0.3361111111111111,0.07407407407407407,9,0.2222222222222222,0.2222222222222222
2017-01-19,0.16707999999999998,-0.11688311688311688,10,0.3,0.4
2017-01-20,0.1651875,0.08928571428571429,8,0.375,0.25
2017-01-21,0.6891,0.3333333333333333,5,0.0,0.0
2017-01-22,0.4511,0.16666666666666666,2,0.0,0.0
2017-01-23,-0.40488,-0.04,5,0.8,0.2
2017-01-24,-0.06728,-0.26952380952380955,10,0.5,0.5
2017-01-25,0.013228571428571423,-0.2619047619047619,14,0.35714285714285715,0.35714285714285715
2017-01-26,-0.08671818181818182,-0.1341991341991342,11,0.45454545454545453,0.45454545454545453
2017-01-27,0.22284444444444443,0.08994708994708994,9,0.2222222222222222,0.1111111111111111
2017-01-28,-0.058244444444444446,-0.15151515151515152,9,0.5555555555555556,0.2222222222222222
2017-01-29,-0.1997,-0.24242424242424246,2,0.5,0.5
2017-01-30,-0.9403,-1.0,1,1.0,1.0
2017-01-31,-0.08851666666666667,0.16666666666666666,6,0.6666666666666666,0.3333333333333333
2017-02-01,-0.45718000000000003,-0.6,5,0.8,0.8
